Series ID,Year,Period,Label,Value,1-Month % Change
CWSR0000SA0,2021,M01,2021 Jan,256.485,0.3
CWSR0000SA0,2021,M02,2021 Feb,257.600,0.4
CWSR0000SA0,2021,M03,2021 Mar,258.967,0.5
CWSR0000SA0,2021,M04,2021 Apr,260.828,0.7
CWSR0000SA0,2021,M05,2021 May,262.766,0.7
CWSR0000SA0,2021,M06,2021 Jun,265.148,0.9
CWSR0000SA0,2021,M07,2021 Jul,266.400,0.5
CWSR0000SA0,2021,M08,2021 Aug,267.577,0.4
CWSR0000SA0,2021,M09,2021 Sep,268.772,0.4
CWSR0000SA0,2021,M10,2021 Oct,271.493,1.0
CWSR0000SA0,2021,M11,2021 Nov,273.863,0.9
CWSR0000SA0,2021,M12,2021 Dec,276.245,0.9
CWSR0000SA0,2022,M01,2022 Jan,278.001,0.6
CWSR0000SA0,2022,M02,2022 Feb,280.104,0.8
CWSR0000SA0,2022,M03,2022 Mar,283.169,1.1
CWSR0000SA0,2022,M04,2022 Apr,284.046,0.3
CWSR0000SA0,2022,M05,2022 May,286.781,1.0
CWSR0000SA0,2022,M06,2022 Jun,290.676,1.4
CWSR0000SA0,2022,M07,2022 Jul,290.253,-0.1
CWSR0000SA0,2022,M08,2022 Aug,290.611,0.1
CWSR0000SA0,2022,M09,2022 Sep,291.562,0.3
CWSR0000SA0,2022,M10,2022 Oct,292.991,0.5
CWSR0000SA0,2022,M11,2022 Nov,293.452,0.2
CWSR0000SA0,2022,M12,2022 Dec,293.510,0.0
CWSR0000SA0,2023,M01,2023 Jan,295.116,0.5
CWSR0000SA0,2023,M02,2023 Feb,296.038,0.3
CWSR0000SA0,2023,M03,2023 Mar,295.999,0.0
CWSR0000SA0,2023,M04,2023 Apr,297.265,0.4
CWSR0000SA0,2023,M05,2023 May,297.393,0.0
CWSR0000SA0,2023,M06,2023 Jun,297.981,0.2
CWSR0000SA0,2023,M07,2023 Jul,298.422,0.1
CWSR0000SA0,2023,M08,2023 Aug,300.747,0.8
CWSR0000SA0,2023,M09,2023 Sep,301.917,0.4
CWSR0000SA0,2023,M10,2023 Oct,301.989,0.0
CWSR0000SA0,2023,M11,2023 Nov,302.111,0.0
