Redemption Period,Redemption Year,Redemption Month,Series Code,Issue Year,Issue Jan Amount,Issue Feb Amount,Issue Mar Amount,Issue Apr Amount,Issue May Amount,Issue Jun Amount,Issue Jul Amount,Issue Aug Amount,Issue Sep Amount,Issue Oct Amount,Issue Nov Amount,Issue Dec Amount,Source Line Number
2023-01,2023,1,E,1980,110.62,110.62,110.62,110.62,111.75,111.75,null,null,null,null,null,null,1
2023-01,2023,1,E,1979,108.28,108.28,108.28,108.28,109.33,109.59,109.59,109.59,109.59,109.59,110.62,110.62,2
2023-01,2023,1,E,1978,128.45,128.45,108.54,108.54,106.67,106.94,106.97,106.97,106.97,106.97,107.98,108.27,3
2023-01,2023,1,E,1977,138.04,138.04,138.04,138.04,139.40,139.70,139.67,139.67,139.67,139.67,128.09,128.45,4
2023-01,2023,1,E,1976,134.76,134.76,134.76,134.76,136.04,136.34,136.32,136.32,136.32,136.32,137.65,138.04,5
2023-01,2023,1,E,1975,131.57,131.57,131.57,131.57,132.83,133.15,133.15,133.15,133.15,133.15,134.46,134.75,6
2023-01,2023,1,E,1974,128.48,128.48,128.48,128.48,129.71,130.02,130.02,130.02,130.02,130.02,131.26,131.59,7
2023-01,2023,1,E,1973,129.56,129.89,129.89,129.89,129.89,130.20,131.46,131.74,131.76,131.76,131.76,128.48,8
2023-01,2023,1,E,1972,125.88,126.17,126.19,126.19,126.19,126.54,127.77,128.05,128.05,128.05,128.05,128.33,9
2023-01,2023,1,E,1971,126.30,126.60,126.60,126.60,126.60,126.95,126.06,126.36,126.36,126.36,126.36,126.66,10
2023-01,2023,1,E,1970,137.00,137.34,137.36,137.36,137.36,138.00,139.36,139.69,139.69,139.69,139.69,140.01,11
2023-01,2023,1,E,1969,137.27,137.27,137.27,137.27,138.60,133.42,134.71,135.01,135.02,135.02,135.02,135.72,12
2023-01,2023,1,E,1968,131.28,131.28,131.28,131.28,132.57,134.16,134.14,134.14,134.14,134.14,135.44,137.28,13
2023-01,2023,1,E,1967,125.86,125.86,125.86,125.86,127.06,128.46,128.45,128.45,128.45,128.45,129.70,131.28,14
2023-01,2023,1,E,1966,128.13,128.13,121.94,121.94,122.02,123.28,123.27,123.27,123.27,123.27,124.46,125.85,15
2023-01,2023,1,E,1965,234.11,214.74,215.79,215.77,215.77,185.97,185.97,183.08,184.03,184.03,184.03,128.12,16
2023-01,2023,1,E,1964,224.55,226.71,227.79,227.77,227.77,229.29,229.29,231.52,232.61,232.61,232.61,234.11,17
2023-01,2023,1,E,1963,215.22,217.31,218.32,218.29,218.29,219.95,219.95,222.11,223.17,223.17,223.17,224.55,18
2023-01,2023,1,E,1962,206.75,208.75,210.27,210.24,210.24,210.79,210.79,212.81,214.32,214.33,214.33,215.22,19
2023-01,2023,1,E,1961,197.18,199.07,201.37,201.36,201.36,201.95,201.95,203.88,206.17,206.15,206.15,206.75,20
2023-01,2023,1,E,1960,188.50,190.17,192.36,192.36,192.36,192.69,192.69,194.52,196.78,196.79,196.79,197.18,21
2023-01,2023,1,E,1959,191.53,191.53,191.53,191.53,191.53,187.88,187.88,186.01,188.10,188.10,188.10,188.50,22
2023-01,2023,1,E,1958,183.12,183.12,183.12,183.12,183.12,184.53,186.72,186.71,186.71,186.71,186.71,189.34,23
2023-01,2023,1,E,1957,199.56,199.90,199.90,199.90,199.90,202.72,205.08,205.07,205.07,205.07,205.07,180.97,24
2023-01,2023,1,E,1956,186.79,186.79,188.59,193.83,193.83,194.29,194.29,194.29,196.19,198.48,198.47,199.56,25
2023-01,2023,1,E,1955,177.53,177.53,179.26,181.57,181.57,182.05,182.05,182.05,183.82,186.29,186.29,186.79,26
2023-01,2023,1,E,1954,168.86,168.86,170.51,172.69,172.69,173.12,173.12,173.12,174.81,177.16,177.17,177.53,27
2023-01,2023,1,E,1953,178.14,178.14,163.38,165.41,165.41,165.81,165.81,165.81,166.33,168.43,168.44,168.86,28
2023-01,2023,1,E,1952,170.66,170.66,170.66,170.66,173.38,173.78,173.78,173.78,175.46,177.69,177.66,178.14,29
2023-01,2023,1,E,1951,162.60,162.60,162.60,162.60,164.16,166.61,166.60,166.60,166.60,166.60,168.23,170.65,30
2023-01,2023,1,E,1950,147.06,147.06,147.06,147.06,148.48,150.53,150.53,150.53,150.53,150.53,151.99,154.26,31
2023-01,2023,1,E,1949,136.69,136.69,136.69,136.69,138.02,143.83,143.83,143.83,143.83,143.83,145.23,147.06,32
2023-01,2023,1,E,1948,131.41,131.41,131.41,131.41,131.09,133.23,133.23,133.23,133.23,133.23,134.51,136.69,33
2023-01,2023,1,E,1947,123.38,123.38,123.38,123.38,124.57,126.57,126.57,126.57,126.57,126.57,129.34,131.41,34
2023-01,2023,1,E,1946,117.28,117.28,117.28,117.28,118.41,120.25,120.25,120.25,120.25,120.25,121.42,123.38,35
2023-01,2023,1,E,1945,110.47,110.47,110.47,110.47,111.54,113.33,113.33,113.33,113.33,113.33,114.43,117.28,36
2023-01,2023,1,E,1944,105.09,105.09,105.09,105.09,106.11,107.70,107.70,107.70,107.70,107.70,108.75,110.47,37
2023-01,2023,1,E,1943,99.95,99.95,99.95,99.95,100.91,102.48,102.48,102.48,102.48,102.48,103.48,105.09,38
2023-01,2023,1,E,1942,94.35,94.35,94.35,94.35,96.00,97.45,97.45,97.45,97.45,97.45,98.40,99.95,39
2023-01,2023,1,E,1941,null,null,null,null,90.59,91.96,91.96,91.96,91.96,91.96,92.86,94.35,40
2023-01,2023,1,S,1970,136.71,136.71,136.71,136.71,138.04,138.70,138.70,138.70,138.70,138.70,null,null,41
